fid,tile_id,row,col,conf,class,img,x1,y1,x2,y2,x_coord,y_coord,lat,lon
1,53127,6656,328448,0.977631688117981,verdadeiro,det_053127.png,0.0937347412109375,0.022247314453125,255.960403442383,190.758697509766,691120.24,8180218.32,-16.452015798014866,-49.209854518281126
2,53128,6656,328704,0.854388177394867,verdadeiro,det_053128.png,0.0,202.936340332031,256.0,256.0,691140.72,8180218.32,-16.452014159949474,-49.20966275825268
3,100940,12800,317440,0.840729594230652,verdadeiro,det_100940.png,0.0,0.0814208984375,112.824729919434,255.914855957031,690239.6,8179726.8,-16.456527261545588,-49.21805966406352
4,113025,14336,348416,0.935889542102814,verdadeiro,det_113025.png,0.0,203.326141357422,256.0,256.0,692717.68,8179603.92,-16.457438922283583,-49.19484594540747
5,113043,14336,353024,0.974310398101807,verdadeiro,det_113043.png,0.0741348266601562,0.0,255.969696044922,190.533645629883,693086.319999999,8179603.92,-16.45740915366088,-49.19139420089828
6,113045,14336,353536,0.973526835441589,verdadeiro,det_113045.png,0.120735168457031,0.027862548828125,256.0,189.415603637695,693127.28,8179603.92,-16.457405842530136,-49.1910106741705
7,115029,14592,350976,0.861963927745819,verdadeiro,det_115029.png,0.01995849609375,0.0376853942871094,255.847991943359,54.8032302856445,692922.48,8179583.44,-16.45760743824329,-49.19292659465751
8,115030,14592,351232,0.982637226581573,verdadeiro,det_115030.png,0.02490234375,72.1621398925781,255.958709716797,256.0,692942.959999999,8179583.44,-16.457605784148342,-49.19273483092498
9,116955,14848,333568,0.617863595485687,falso,det_116955.png,89.9239501953125,0.0,198.002197265625,144.856689453125,691529.84,8179562.96,-16.45790455383393,-49.2059648782353
10,119005,15104,347904,0.633641302585602,falso,det_119005.png,133.531311035156,99.8036804199219,255.860443115234,210.374328613281,692676.72,8179542.48,-16.457997368312274,-49.19522433739229
11,144864,18432,331776,0.754625856876373,falso,det_144864.png,99.1110534667969,149.446792602539,129.296096801758,186.456893920898,691386.48,8179276.24,-16.46050672339402,-49.20728342836739
12,164953,20992,369920,0.919296503067017,verdadeiro,det_164953.png,0.062255859375,204.737976074219,255.827850341797,256.0,694438.0,8179071.44,-16.462110700957016,-49.178692943955085
13,164954,20992,370176,0.975044727325439,verdadeiro,det_164954.png,0.0753250122070312,0.0431671142578125,255.9853515625,189.246505737305,694458.48,8179071.44,-16.462109033395524,-49.178501177314466
14,164955,20992,370432,0.975828945636749,verdadeiro,det_164955.png,0.12060546875,0.0217132568359375,256.0,185.738067626953,694478.959999999,8179071.44,-16.462107365658692,-49.178309410696016
15,178782,22784,336896,0.643961489200592,falso,det_178782.png,10.7730560302734,95.7406387329102,100.17057800293,163.529937744141,691796.079999999,8178928.08,-16.46361968240467,-49.203419092887174
16,178914,22784,370688,0.981186985969543,verdadeiro,det_178914.png,0.177940368652344,71.1756439208984,255.918365478516,255.99543762207,694499.439999999,8178928.08,-16.463401015928742,-49.17810554346838
17,180820,23040,348160,0.901285648345947,verdadeiro,det_180820.png,0.299163818359375,70.6945877075195,255.908172607422,256.0,692697.199999999,8178907.6,-16.46373218026605,-49.19497948772697
18,184752,23552,333824,0.655650436878204,falso,det_184752.png,111.778030395508,60.2681655883789,178.112319946289,117.913917541504,691550.319999999,8178866.64,-16.46419455444964,-49.20571523581331
19,184922,23552,377344,0.962640345096588,verdadeiro,det_184922.png,117.914192199707,0.124900817871094,255.997802734375,256.0,695031.92,8178866.64,-16.463912719826855,-49.17311438619183
20,184922,23552,377344,0.914874196052551,verdadeiro,det_184922.png,0.0,0.06597900390625,117.749847412109,255.994659423828,695031.92,8178866.64,-16.463912719826855,-49.17311438619183
21,186916,23808,377344,0.973127365112305,verdadeiro,det_186916.png,0.0,0.042449951171875,126.783538818359,256.0,695031.92,8178846.16,-16.46409776474229,-49.173112652650175
22,186916,23808,377344,0.96214085817337,verdadeiro,det_186916.png,127.337989807129,0.052001953125,256.0,255.987823486328,695031.92,8178846.16,-16.46409776474229,-49.173112652650175
23,188644,24064,309248,0.60620778799057,falso,det_188644.png,68.2862701416016,63.0349349975586,236.22346496582,220.115692138672,689584.24,8178825.68,-16.464721569119042,-49.22412203649518
24,188910,24064,377344,0.957761228084564,verdadeiro,det_188910.png,137.954620361328,0.125267028808594,256.0,255.987701416016,695031.92,8178825.68,-16.464282809654303,-49.173110919086284
25,188910,24064,377344,0.952126741409302,verdadeiro,det_188910.png,0.054290771484375,0.027435302734375,136.152069091797,256.0,695031.92,8178825.68,-16.464282809654303,-49.173110919086284
26,190736,24320,334336,0.801279604434967,falso,det_190736.png,103.443092346191,99.6960906982422,168.141754150391,159.950546264648,691591.28,8178805.2,-16.464746412857522,-49.205326583616824
